timestamp,event,symbol,score,price,qty,reason,open_pl,rotation_score,rotation_decision,notes
2026-05-05T14:34:01.713322,SHADOW_SELL_V2_SIGNAL,AAPL,68.4,,1.0,Research signal: no exit pressure.,12.385,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.599 | entry=269.32 | current=281.705
2026-05-05T14:34:01.713478,SHADOW_SELL_V2_SIGNAL,AMZN,78.14,,61.954933291,Research signal: position is working.,1123.901955,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=7.034 | entry=257.904563 | current=276.0452
2026-05-05T14:34:01.713575,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,12.385,1.1,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=68.4 | best_candidate=U
2026-05-05T14:34:01.713614,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T14:34:01.713646,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T14:34:01.713674,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T14:34:01.714037,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T14:39:45.960072,SHADOW_SELL_V2_SIGNAL,AAPL,70.14,,1.0,Research signal: no exit pressure.,13.56,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=5.035 | entry=269.32 | current=282.88
2026-05-05T14:39:45.960198,SHADOW_SELL_V2_SIGNAL,AMZN,78.28,,61.954933291,Research signal: position is working.,1129.775283,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=7.071 | entry=257.904563 | current=276.14
2026-05-05T14:39:45.960332,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,13.56,-0.64,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=70.14 | best_candidate=U
2026-05-05T14:39:45.960377,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
2026-05-05T14:39:45.960409,SHADOW_SMALL_CAP_BUY_DECISION,ORCL,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=51.0 | news=5.0
2026-05-05T14:39:45.960437,SHADOW_SMALL_CAP_BUY_DECISION,ROKU,68.0,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=39.0 | news=4.0
2026-05-05T14:39:45.960786,LEARNING_SHADOW_SKIP_BUY,U,69.5,,,skip buy,,,,
2026-05-05T14:45:24.137738,SHADOW_SELL_V2_SIGNAL,AAPL,68.5,,1.0,Research signal: no exit pressure.,12.455,,research_hold_neutral,shadow_only=true | version=v2.2 | pl_pct=4.625 | entry=269.32 | current=281.775
2026-05-05T14:45:24.137864,SHADOW_SELL_V2_SIGNAL,AMZN,79.44,,61.954933291,Research signal: position is working.,1175.931708,,research_hold_winner,shadow_only=true | version=v2.2 | pl_pct=7.359 | entry=257.904563 | current=276.885
2026-05-05T14:45:24.137950,SHADOW_CAPITAL_EFFICIENCY,U,69.5,,,Research signal: candidate edge is not large enough.,12.455,1.0,research_no_clear_edge,shadow_only=true | version=v2.2 | weakest=AAPL | weakest_score=68.5 | best_candidate=U
2026-05-05T14:45:24.137987,SHADOW_SMALL_CAP_BUY_DECISION,U,69.5,,,Research signal: candidate fits small-capital learning threshold.,,,research_small_cap_candidate,shadow_only=true | version=v2.2 | sim_capital=500 | max_position=100 | max_positions=3 | trend=bullish | analyst=31.0 | news=5.0
