symbol,price,final_score,trend_score,momentum_score,volume_score,change_1d_pct,change_5d_pct,change_20d_pct,volume_ratio,pullback_from_sma5_pct,extension_from_sma20_pct,entry_score,entry_zone,avg_volume,label
CRWD,505.72,80.5,90,95,90,8.04,13.45,18.57,2.12,6.46,14.17,35,⚠️ Extended / Wait,2403160,✅ Strong Watch
QCOM,202.55,78.25,90,95,75,5.18,12.79,58.85,1.45,9.24,32.79,35,⚠️ Extended / Wait,35250950,✅ Strong Watch
PANW,196.53,78.25,90,95,75,7.0,9.6,13.09,1.72,5.68,11.96,35,⚠️ Extended / Wait,6131090,✅ Strong Watch
SMCI,33.62,78.25,90,95,75,-3.0,22.7,43.86,1.41,11.24,19.04,35,⚠️ Extended / Wait,43598210,✅ Strong Watch
SNOW,153.72,78.25,90,95,75,10.0,12.64,2.49,1.81,6.69,7.83,35,⚠️ Extended / Wait,7585160,✅ Strong Watch
ADBE,256.51,78.0,90,80,50,2.53,4.23,7.19,0.94,1.23,4.4,75,🟢 Healthy Entry Zone,4748090,✅ Strong Watch
AAPL,287.44,78.0,90,80,50,-0.02,5.93,11.02,0.87,1.49,5.84,75,🟢 Healthy Entry Zone,52091600,✅ Strong Watch
TSM,414.15,78.0,90,80,50,-1.28,4.57,13.19,0.94,2.14,6.87,75,🟢 Healthy Entry Zone,14157160,✅ Strong Watch
QQQ,694.94,78.0,90,80,50,-0.12,4.07,14.66,1.15,1.62,5.97,75,🟢 Healthy Entry Zone,37784450,✅ Strong Watch
CRM,186.34,78.0,90,80,50,2.84,5.56,5.92,1.28,0.85,3.3,75,🟢 Healthy Entry Zone,10845210,✅ Strong Watch
UBER,76.73,77.25,90,65,75,-3.08,2.84,6.01,1.46,1.52,2.06,75,🟢 Healthy Entry Zone,18438210,✅ Strong Watch
AMD,408.46,74.5,90,95,50,-3.07,15.22,76.2,0.84,8.22,29.37,35,⚠️ Extended / Wait,53504070,👀 Watch Only
ORCL,194.59,74.5,90,95,50,0.29,20.57,35.92,1.16,5.06,12.29,35,⚠️ Extended / Wait,27272550,👀 Watch Only
MU,646.63,74.5,90,95,50,-2.99,25.03,58.98,1.06,5.24,27.02,35,⚠️ Extended / Wait,44785520,👀 Watch Only
GOOGL,397.99,73.5,90,65,50,-0.01,3.43,25.42,0.75,1.87,12.64,75,🟢 Healthy Entry Zone,32620960,👀 Watch Only
MSFT,420.77,73.5,90,65,50,1.65,3.19,12.41,1.0,1.43,1.65,75,🟢 Healthy Entry Zone,34825260,👀 Watch Only
SPY,731.58,73.5,90,65,50,-0.31,1.8,8.22,1.1,0.83,3.02,75,🟢 Healthy Entry Zone,46703650,👀 Watch Only
ASML,1516.6,73.0,90,80,50,-1.82,5.39,6.96,1.09,3.63,4.46,50,👀 Watch Only,1579590,👀 Watch Only
NVDA,211.5,73.0,90,80,50,1.77,5.98,16.16,1.01,4.42,4.78,50,👀 Watch Only,165396720,👀 Watch Only
TSLA,411.79,73.0,90,80,50,3.28,7.9,19.97,1.15,3.82,7.58,50,👀 Watch Only,55629090,👀 Watch Only
INTC,109.62,72.25,90,95,35,-3.0,16.02,85.95,0.69,4.17,34.94,35,⚠️ Extended / Wait,175878050,👀 Watch Only
NOW,93.59,71.0,70,80,50,5.1,5.98,-3.98,1.11,2.22,1.68,75,🟢 Healthy Entry Zone,25210350,👀 Watch Only
ARM,213.31,70.25,70,65,75,-10.11,1.42,43.25,1.71,-0.68,11.01,75,🟢 Healthy Entry Zone,12993670,👀 Watch Only
COST,1012.06,69.0,90,50,50,1.64,-0.1,-1.62,1.13,0.23,1.25,75,🟢 Healthy Entry Zone,1773490,👀 Watch Only
AVGO,412.56,65.0,70,50,50,-3.03,-1.17,17.66,1.17,-1.92,1.3,90,✅ Pullback Entry Zone,19490220,👀 Watch Only
AMZN,271.17,64.25,70,65,35,-1.39,2.31,22.56,0.67,-0.31,5.15,75,🟢 Healthy Entry Zone,53640990,Skip
COIN,192.96,48.5,50,65,50,-2.53,2.76,10.21,1.06,-1.84,-0.63,20,❌ Below Trend,8522000,Skip
META,616.81,41.75,50,50,35,0.64,0.8,0.72,0.63,0.99,-5.09,20,❌ Below Trend,19544840,Skip
PLTR,137.05,35.25,25,50,50,2.44,-1.48,-2.64,1.09,-1.66,-2.62,20,❌ Below Trend,45955830,Skip
SHOP,111.74,31.5,25,25,75,5.97,-7.75,-6.96,1.68,-3.68,-8.63,20,❌ Below Trend,13554140,Skip
NFLX,88.25,27.75,25,25,50,-0.02,-5.73,-11.21,0.89,-1.39,-7.5,20,❌ Below Trend,34351300,Skip
