timestamp,portfolio_value,buying_power,open_pl
2026-04-30T23:30:44.953069,99718.76,168770.78,-281.243253
2026-04-30T23:35:45.426549,99727.54,168779.56,-272.45515600000004
2026-04-30T23:37:38.323410,99723.39,168775.41,-276.60604900000004
2026-04-30T23:42:38.775903,99722.02,168774.04,-277.97676300000006
2026-04-30T23:43:34.789435,99718.51,168770.53,-281.49227699999994
2026-04-30T23:48:35.843631,99706.87,168758.89,-293.13407299999994
2026-04-30T23:53:08.600715,99704.46,168756.48,-295.54173
2026-04-30T23:57:51.314408,99698.73,168750.75,-301.26939500000003
2026-05-01T00:02:52.343930,99964.04,169016.06,-35.962260000000015
2026-05-01T00:07:52.822344,99979.44,169031.46,-20.56131700000003
2026-05-01T00:12:53.411814,99740.73,168792.75,-259.26928999999996
2026-05-01T00:17:53.843911,99740.78,168792.8,-259.21928999999994
2026-05-01T00:22:54.292885,99766.02,168818.04,-233.97555799999992
2026-05-01T00:27:54.738295,99765.81,168817.83,-234.185065
2026-05-01T00:32:55.231115,99769.67,168821.69,-230.327275
2026-05-01T00:34:30.562738,99783.87,168835.89,-216.134229
2026-05-01T00:39:31.485660,99771.82,168823.84,-228.17643800000002
2026-05-01T00:44:31.956601,99772.03,168824.05,-227.96643800000004
2026-05-01T00:49:32.418754,99780.19,168832.21,-219.814486
2026-05-01T00:49:47.094421,99780.18,168832.2,-219.82448599999998
2026-05-01T00:54:32.869200,99779.47,168831.49,-220.53452900000002
2026-05-01T00:59:33.289649,99780.09,168832.11,-219.91448599999995
2026-05-01T01:04:33.752615,99772.87,168824.89,-227.13491400000004
2026-05-01T01:09:34.296083,99772.66,168824.68,-227.34491400000002
2026-05-01T01:14:34.961932,99790.41,168842.43,-209.58506500000004
2026-05-01T01:19:35.412357,99801.91,168853.93,-198.09071
2026-05-01T01:24:35.913767,99801.67,168853.69,-198.33071
2026-05-01T01:29:36.440870,99802.89,168854.91,-197.10967999999997
2026-05-01T01:34:36.920708,99814.17,168866.19,-185.82998100000003
2026-05-01T01:39:37.420986,99813.25,168865.27,-186.750518
2026-05-01T01:44:38.023738,99807.74,168859.76,-192.26086099999998
2026-05-01T01:49:38.481296,99828.78,168880.8,-171.21957500000002
2026-05-01T01:54:38.982332,99816.92,168868.94,-183.08030300000001
2026-05-01T01:59:39.446973,99818.79,168870.81,-181.213844
2026-05-01T02:04:39.932467,99812.42,168864.44,-187.57641900000004
2026-05-01T02:09:40.448329,99804.61,168856.63,-195.39397200000002
2026-05-01T02:14:41.091700,99803.8,168855.82,-196.19500300000004
2026-05-01T02:19:41.573506,99787.39,168839.41,-212.60817800000007
2026-05-01T02:24:42.044471,99773.01,168825.03,-226.98781300000007
2026-05-01T02:29:42.628089,99754.17,168806.19,-245.82506400000005
2026-05-01T02:34:43.107972,99758.49,168810.51,-241.51480699999996
2026-05-01T02:39:43.570263,99758.51,168810.53,-241.49480699999998
2026-05-01T02:44:44.188524,99774.83,168826.85,-225.16504400000002
2026-05-01T02:49:44.702447,99779.63,168831.65,-220.36523699999998
2026-05-01T02:54:45.156956,99779.7,168831.72,-220.295237
2026-05-01T02:59:45.653792,99785.32,168837.34,-214.68489400000004
2026-05-01T03:04:46.169624,99788.86,168840.88,-211.14468
2026-05-01T03:09:46.680367,99786.15,168838.17,-213.854851
2026-05-01T03:14:47.155224,99786.06,168838.08,-213.94489400000003
2026-05-01T03:19:47.647771,99802.69,168854.71,-197.30755599999992
2026-05-01T03:24:48.117381,99801.42,168853.44,-198.57566699999995
2026-05-01T03:29:48.552461,99797.12,168849.14,-202.882019
2026-05-01T03:34:48.993545,99800.69,168852.71,-199.311805
2026-05-01T03:39:49.469467,99789.17,168841.19,-210.8339709999999
2026-05-01T03:44:49.941294,99779.65,168831.67,-220.34869199999997
2026-05-01T03:49:50.378869,99781.09,168833.11,-218.90860599999996
2026-05-01T03:54:50.856380,99785.42,168837.44,-214.578349
2026-05-01T03:59:51.321722,99790.88,168842.9,-209.12339200000002
2026-05-01T04:04:51.773824,99780.16,168832.18,-219.84403499999996
2026-05-01T04:09:52.185550,99787.73,168839.75,-212.27356299999997
2026-05-01T04:14:52.819790,99789.1,168841.12,-210.89957200000003
2026-05-01T04:19:53.224045,99786.95,168838.97,-213.04970100000008
2026-05-01T04:24:53.673092,99781.4,168833.42,-218.60004400000003
2026-05-01T04:29:54.153811,99774.83,168826.85,-225.17191000000003
2026-05-01T04:34:54.600407,99767.32,168819.34,-232.68139500000007
2026-05-01T04:39:55.079978,99757.25,168809.27,-242.74907700000006
2026-05-01T04:44:55.526488,99759.26,168811.28,-240.73944100000006
2026-05-01T04:49:56.007855,99771.92,168823.94,-228.07867000000005
2026-05-01T04:54:34.512201,99777.46,168829.48,-222.53931399999993
2026-05-01T04:59:35.372837,99772.78,168824.8,-227.21862699999997
2026-05-01T05:04:35.808008,99765.47,168817.49,-234.52905500000003
2026-05-01T05:09:36.259491,99772.51,168824.53,-227.48862699999995
2026-05-01T05:14:36.836754,99777.24,168829.26,-222.75832699999995
2026-05-01T05:19:37.553363,99766.08,168818.1,-233.919012
2026-05-01T05:24:38.000189,99758.38,168810.4,-241.619484
2026-05-01T05:29:38.888353,99766.43,168818.45,-233.57242499999995
2026-05-01T05:34:39.363756,99765.06,168817.08,-234.94250999999997
2026-05-01T05:39:40.009159,99766.55,168818.57,-233.45242499999995
2026-05-01T05:44:40.496403,99783.41,168835.43,-216.59139599999997
2026-05-01T05:49:41.005812,99780.53,168832.55,-219.471567
2026-05-01T05:54:41.521677,99788.04,168840.06,-211.95697499999994
2026-05-01T05:59:42.137913,99779.62,168831.64,-220.37749000000002
2026-05-01T06:04:42.658839,99798.64,168850.66,-201.36244699999997
2026-05-01T06:09:43.161735,99798.85,168850.87,-201.14585999999997
2026-05-01T06:14:43.747446,99802.38,168854.4,-197.61564500000003
2026-05-01T06:19:44.235844,99809.47,168861.49,-190.525217
2026-05-01T06:24:44.698268,99799.62,168851.64,-200.37581700000004
2026-05-01T06:29:45.232981,99794.1,168846.12,-205.89615999999995
2026-05-01T06:34:45.732095,99789.88,168841.9,-210.11641700000007
2026-05-01T06:39:46.139027,99771.06,168823.08,-228.93757399999993
2026-05-01T06:44:46.587842,99769.42,168821.44,-230.58083499999998
2026-05-01T06:49:47.057487,99772.77,168824.79,-227.233089
2026-05-01T06:54:47.584334,99766.36,168818.38,-233.64006300000005
2026-05-01T06:59:47.995060,99770.94,168822.96,-229.05613599999998
2026-05-01T07:04:48.520650,99772.48,168824.5,-227.51605
2026-05-01T07:09:49.024142,99773.82,168825.84,-226.18156600000003
2026-05-01T07:14:49.754149,99779.53,168831.55,-220.47122299999995
2026-05-01T07:19:50.172350,99785.03,168837.05,-214.97088000000002
2026-05-01T07:24:50.803034,99773.9,168825.92,-226.09568600000006
2026-05-01T07:29:51.304980,99775.29,168827.31,-224.70560100000006
2026-05-01T07:34:51.777343,99771.07,168823.09,-228.92585800000006
2026-05-01T07:39:52.229361,99767.03,168819.05,-232.966115
2026-05-01T07:44:52.867326,99746.41,168798.43,-253.59222999999997
2026-05-01T07:49:53.327257,99753.54,168805.56,-246.46180100000004
2026-05-01T07:54:53.955806,99767.67,168819.69,-232.32534299999998
2026-05-01T07:59:54.439023,99757.71,168809.73,-242.28594299999997
2026-05-01T08:04:54.952036,99738.16,168790.18,-261.84444
2026-05-01T08:09:55.383315,99723.85,168775.87,-276.14823799999994
2026-05-01T08:14:56.068074,99723.46,168775.48,-276.543173
2026-05-01T08:19:56.569158,99715.58,168767.6,-284.41879499999993
2026-05-01T08:24:57.149403,99709.52,168761.54,-290.479138
2026-05-01T08:29:57.777287,99725.71,168777.73,-274.290856
2026-05-01T08:34:58.224048,99714.38,168766.4,-285.62347199999994
2026-05-01T08:39:58.728629,99708.07,168760.09,-291.933858
2026-05-01T08:44:59.532368,99683.81,168735.83,-316.19426200000004
2026-05-01T08:49:59.987189,99663.19,168715.21,-336.81312600000007
2026-05-01T08:55:00.565570,99673.88,168725.9,-326.122483
2026-05-01T09:00:01.009684,99678.22,168730.24,-321.775144
2026-05-01T09:05:01.460159,99665.54,168717.56,-334.464435
2026-05-01T09:10:02.000445,99688.59,168740.61,-311.407913
2026-05-01T09:15:02.646164,99657.0,168709.02,-342.99789
2026-05-01T09:20:03.073727,99685.18,168737.2,-314.81694699999997
2026-05-01T09:25:03.551955,99669.94,168721.96,-330.060576
2026-05-01T09:30:04.026558,99703.14,168755.16,-296.86220600000007
2026-05-01T09:35:04.460858,99700.0,168752.02,-300.00242
2026-05-01T09:40:04.961260,99689.54,168741.56,-310.46184100000005
2026-05-01T09:45:05.564120,99683.55,168735.57,-316.45218400000005
2026-05-01T09:50:05.957971,99678.06,168730.08,-321.942527
2026-05-01T09:55:06.386474,99670.52,168722.54,-329.47711899999996
2026-05-01T10:00:06.890142,99671.59,168723.61,-328.411925
2026-05-01T10:05:07.297392,99673.24,168725.26,-326.757038
2026-05-01T10:10:07.919161,99657.02,168709.04,-342.9771610000001
2026-05-01T10:15:08.366253,99664.75,168716.77,-335.25471500000003
2026-05-01T10:20:08.805208,99678.7,168730.72,-321.296819
2026-05-01T10:25:09.276993,99680.37,168732.39,-319.628171
2026-05-01T10:30:09.696446,99672.45,168724.47,-327.54781699999995
2026-05-01T10:35:10.350469,99647.16,168699.18,-352.839006
2026-05-01T10:40:10.847031,99601.9,168653.92,-398.104862
2026-05-01T10:45:11.544385,99605.49,168657.51,-394.51222300000006
2026-05-01T10:50:11.999672,99642.13,168694.15,-357.874413
2026-05-01T10:55:12.521055,99637.7,168689.72,-362.301684
2026-05-01T11:00:13.634316,99667.77,168719.79,-332.23259199999995
2026-05-01T11:05:14.151695,99673.88,168725.9,-326.11884299999997
2026-05-01T11:10:14.679209,99636.89,168688.91,-363.109499
